year,event,category,impact,description
-138,张骞出使西域,外交,50,开辟丝绸之路的第一步
73,班超经营西域,军事,65,巩固汉朝在西域的统治
166,大秦使者来华,外交,55,罗马帝国与汉朝建立直接联系
629,玄奘西行取经,文化,70,促进佛教东传和文化交流
713,唐朝设安西都护府,政治,80,加强对西域的管理
751,怛罗斯之战,军事,60,造纸术西传的契机
1271,马可·波罗来华,文化,85,将东方文明介绍给欧洲
1405,郑和下西洋,航海,90,开辟海上丝绸之路新纪元
1492,哥伦布发现新大陆,航海,75,开启大航海时代
1877,左宗棠收复新疆,军事,70,巩固西北边疆
2013,一带一路倡议提出,经济,100,新时代丝路合作的开始
2015,亚投行成立,金融,85,为基础设施建设提供资金支持
2017,首届一带一路国际合作高峰论坛,外交,90,建立高层对话机制
2019,第二届一带一路国际合作高峰论坛,外交,92,深化务实合作
2021,中欧班列累计开行突破4万列,经济,88,陆上丝路大通道建成
2023,共建一带一路10周年,综合,95,取得丰硕成果
